wvl,mirror,winston,pmt
260.0,0.7667739610369678,0.6245142857142858,0.0006855600522977835
267.9591836734694,0.771444144012657,0.6356172309156901,0.017756571162915513
275.9183673469388,0.775951199023731,0.6463219848872495,0.05830706085504639
283.8775510204082,0.78029512607019,0.6566285476289644,0.09922875196564143
291.83673469387753,0.7844759251520339,0.6665369191408341,0.12724289595309288
299.7959183673469,0.7884935962692632,0.6760470994228597,0.15369002080685454
307.7551020408163,0.792348139421877,0.6851590884750403,0.17670112560201395
315.7142857142857,0.7960395546098761,0.6938728862973762,0.1907619462391139
323.6734693877551,0.7995678418332599,0.7021884928898675,0.19712412253077577
331.63265306122446,0.8029330010920287,0.710105908252514,0.19985719679555936
339.59183673469386,0.8061350323861824,0.7176251323853157,0.20253625826649507
347.55102040816325,0.8091739357157214,0.7247461652882727,0.2072149547640553
355.51020408163265,0.812049711080645,0.7314690069613852,0.2094300364111073
363.46938775510205,0.8147623584809536,0.737793657404653,0.21065209052965625
371.42857142857144,0.8173118779166473,0.7437201166180759,0.21170778210860902
379.38775510204084,0.819698269387726,0.7492483846016541,0.21201619616738307
387.34693877551024,0.8219215328941895,0.7543784613553878,0.21506576610647055
395.30612244897964,0.823981668436038,0.7591103468792767,0.21861071605338
403.265306122449,0.8258786760132717,0.7634440411733208,0.21894947715013938
411.2244897959184,0.82761255562589,0.7673795442375201,0.21713804260294686
419.18367346938777,0.8291833072738933,0.7709168560718749,0.2159883469203682
427.1428571428571,0.8305909309572818,0.7740559766763848,0.2125105321774002
435.1020408163265,0.831835426676055,0.77679690605105,0.2076499121609268
443.0612244897959,0.8329167944302134,0.7791396441958707,0.20062401914733452
451.0204081632653,0.8338350342197565,0.7810841911108466,0.1925125189978044
458.9795918367347,0.8345901460446848,0.782630546795978,0.1858254759227859
466.9387755102041,0.835182129904998,0.7837787112512642,0.17748222736883515
474.8979591836735,0.8356109858006961,0.784528684476706,0.16852928070165776
482.8571428571429,0.8358767137317792,0.784880466472303,0.160342663202863
490.8163265306123,0.8359793136982472,0.7848340572380552,0.1537935935597154
498.7755102040817,0.8359187857001003,0.784389456773963,0.14832982667471026
506.734693877551,0.8356951297373383,0.7835466650800258,0.1394565591985058
514.6938775510205,0.8353083458099613,0.7823056821562442,0.12556738745331036
522.6530612244899,0.8347584339179692,0.7806665080026176,0.10749088059581134
530.6122448979593,0.8340453940613619,0.7786291426191464,0.08913525433627209
538.5714285714287,0.8331692262401399,0.7761935860058304,0.07561115475336803
546.530612244898,0.8321299304543026,0.7733598381626698,0.06585952102588719
554.4897959183673,0.8309275067038504,0.7701278990896645,0.058001101985500125
562.4489795918367,0.8295619549887832,0.7664977687868145,0.05157102559957286
570.4081632653061,0.8280332753091008,0.7624694472541198,0.04642250389643311
578.3673469387755,0.8263414676648033,0.7580429344915802,0.04127022490776008
586.3265306122449,0.824486532055891,0.753218230499196,0.03511868400627716
594.2857142857142,0.8224684684823635,0.7479953352769673,0.03007987512930384
602.2448979591836,0.8202872769442211,0.7423742488248939,0.025824812903025633
610.204081632653,0.8179429574414636,0.7363549711429753,0.020121808420666083
618.1632653061224,0.8154355099740909,0.7299375022312125,0.014768809029015124
626.1224489795918,0.8127649345421033,0.7231218420896048,0.010486662913002567
634.0816326530612,0.8099312311455008,0.715907990718152,0.005840708472244263
642.0408163265306,0.806934399784283,0.7082959481168558,0.0012711540523635595
650.0,0.8037744404584501,0.7002857142857135,0.0008823776114713493
